what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802110727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802122867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802133172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802133339
opened,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1408802133610
activated,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1408802133645
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1408802145383
closed,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1408802145383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408802147857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802156594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802167277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802169749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802169947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1408802169960
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408802171478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802175304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802180606
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1408802183471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408802186168
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408802188885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802192182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802194247
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1408802195799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408802198117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802200309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802223532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802224761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408802247559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408802253897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408802255998
