what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177216861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177220780
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408177222990
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1408177223264
closed,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408177223266
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408177228058
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408177228089
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1408177273490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177275437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177337615
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408177341445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408177352079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177353704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177360306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177361874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177371226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408177374180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177375560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177393093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408177396091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177396917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177413894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408177416715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177417996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177442893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408177446264
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1408177447617
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408177451857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177480286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177482889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177483926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177484070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177484517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177484666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177484997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408177485126
