what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408799166989
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408799169608
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408799172353
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408799173024
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1408799179731
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408799185771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799361842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799478567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799481267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799483483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799487607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799579091
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408799582090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408799590083
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1408799594234
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408799614517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799628626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799639413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799664118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799703639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408799708188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799710950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799715071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408799715368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799724865
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1408799726928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799726952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408799726959
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408799733616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799736937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408799740287
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1408799740304
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408799742650
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408799745578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408799753881
started,bundle,org.jboss.ide.eclipse.as.rse.core,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.rse.core",1408799759019
