what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1408808431021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408808431936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408808456004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408808602690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408808612220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408808638310
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1408808639571
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408808644923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408808647068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408809089836
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1408809092249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408809093625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408810467200
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408810469460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408810475328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408810883172
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408810884738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408810891470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408810895104
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408810895298
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408810895329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408810898175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1408810899976
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1408810901104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408810902233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408810910620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408810924373
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408810926376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408810930001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408810934300
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408810934477
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408810934503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408810936807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1408810938378
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1408810939332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408810940317
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408810957160
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408810961954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408810964890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408810973115
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1408810974392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408810978374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408810980464
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408810986845
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1408810996914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408811009826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408811019105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408811028788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408811030955
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811044511
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811046951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811054665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811065636
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408811068413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811072991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811087001
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811087365
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811087407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408811095009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1408811098666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408811101746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408811105752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1408811107569
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1408811108569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408811109568
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811120311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408811124967
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1408811126407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408811127392
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811131075
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811131075
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1408811132073
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811135005
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811135697
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811136454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811175272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811215689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811220903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811261142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811264448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811266569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811431892
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408811434710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811438139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811451626
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811463161
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408811466898
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408811467902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811471952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408811472358
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1408811472383
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408811484367
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1408811512797
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1408811541750
