what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407941492833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407941505055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407941515079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407941666076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407941758075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407941760567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407941773745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407941774844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407941790956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407941793751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407942010314
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1407942015592
started,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1407942015608
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1407942017734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407942017978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407942066093
started,bundle,org.jboss.tools.jmx.ui,1.3.1.v20130102-1732-H80-Final,"org.jboss.tools.jmx.ui",1407942066433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407942093141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407942320145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407942327044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407942375155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407942379597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407942382278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1407942382285
