what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1408167608583
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1408167608585
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1408167608585
started,bundle,org.jboss.ide.eclipse.archives.core,3.3.1.v20130102-1730-H94-Final,"org.jboss.ide.eclipse.archives.core",1408167608622
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.archives.webtools",1408167608623
started,bundle,org.jboss.ide.eclipse.as.classpath.core,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.classpath.core",1408167608635
started,bundle,org.jboss.ide.eclipse.as.core,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.core",1408167608647
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.ui",1408167608655
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.ui.mbeans",1408167608656
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.wtp.core",1408167608656
os,sysinfo,,,"win32",1408167608660
arch,sysinfo,,,"x86_64",1408167608660
ws,sysinfo,,,"win32",1408167608660
locale,sysinfo,,,"en_IN",1408167608660
processors,sysinfo,,,"4",1408167608660
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408167608660
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1408167608660
java.specification.name,sysinfo,,,"Java Platform API Specification",1408167608660
java.specification.vendor,sysinfo,,,"Oracle Corporation",1408167608660
java.specification.version,sysinfo,,,"1.7",1408167608660
java.vendor,sysinfo,,,"Oracle Corporation",1408167608660
java.version,sysinfo,,,"1.7.0_51",1408167608660
java.vm.info,sysinfo,,,"mixed mode",1408167608660
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1408167608660
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1408167608660
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1408167608660
java.vm.specification.version,sysinfo,,,"1.7",1408167608660
java.vm.vendor,sysinfo,,,"Oracle Corporation",1408167608660
java.vm.version,sysinfo,,,"24.51-b03",1408167608660
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1408167612305
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1408167612337
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1408167613764
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1408167613771
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1408167614010
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1408167614036
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1408167614227
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1408167614425
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1408167614430
